,County,State_Name,State,Fipcode,Population,Areaname,STCOU,Land Area 2010,Population Density
530,Wayne,Georgia,GA,13305,29927,"Wayne, GA",13305,641.78,46.631244351646984
531,Webster,Georgia,GA,13307,2607,"Webster, GA",13307,209.12,12.466526396327467
532,Wheeler,Georgia,GA,13309,7855,"Wheeler, GA",13309,295.48,26.583863544063895
533,White,Georgia,GA,13311,30798,"White, GA",13311,240.69,127.95712327059704
534,Whitfield,Georgia,GA,13313,104628,"Whitfield, GA",13313,290.46,360.21483164635407
535,Wilcox,Georgia,GA,13315,8635,"Wilcox, GA",13315,377.71,22.86145455508194
536,Wilkes,Georgia,GA,13317,9777,"Wilkes, GA",13317,469.49,20.82472470127159
537,Wilkinson,Georgia,GA,13319,8954,"Wilkinson, GA",13319,447.31,20.017437571259304
538,Worth,Georgia,GA,13321,20247,"Worth, GA",13321,570.7,35.47748379183459
539,Hawaii,Hawaii,HI,15001,201513,"Hawaii, HI",15001,4028.42,50.022837737872415
540,Honolulu,Hawaii,HI,15003,974563,"Honolulu, HI",15003,600.74,1622.2708659320172
541,Kauai,Hawaii,HI,15007,72293,"Kauai, HI",15007,619.96,116.60913607329505
542,Maui,Hawaii,HI,15009,167417,"Maui, HI",15009,1161.52,144.13613196501137
543,Ada,Idaho,ID,16001,481587,"Ada, ID",16001,1052.58,457.53006897337974
544,Adams,Idaho,ID,16003,4294,"Adams, ID",16003,1363.06,3.1502648452746027
545,Bannock,Idaho,ID,16005,87808,"Bannock, ID",16005,1111.99,78.9647388915368
546,Bear Lake,Idaho,ID,16007,6125,"Bear Lake, ID",16007,974.79,6.28340463074098
547,Benewah,Idaho,ID,16009,9298,"Benewah, ID",16009,776.62,11.972393191007185
548,Bingham,Idaho,ID,16011,46811,"Bingham, ID",16011,2093.98,22.35503681983591
549,Blaine,Idaho,ID,16013,23021,"Blaine, ID",16013,2643.59,8.708233878929788
550,Boise,Idaho,ID,16015,7831,"Boise, ID",16015,1899.24,4.123228238663887
551,Bonner,Idaho,ID,16017,45739,"Bonner, ID",16017,1734.57,26.369071297209107
552,Bonneville,Idaho,ID,16019,119062,"Bonneville, ID",16019,1866.08,63.80326674097574
553,Boundary,Idaho,ID,16021,12245,"Boundary, ID",16021,1268.56,9.652677051144606
554,Butte,Idaho,ID,16023,2597,"Butte, ID",16023,2231.67,1.1637025187415702
555,Camas,Idaho,ID,16025,1106,"Camas, ID",16025,1074.49,1.029325540488976
556,Canyon,Idaho,ID,16027,229849,"Canyon, ID",16027,587.37,391.3189301462451
557,Caribou,Idaho,ID,16029,7155,"Caribou, ID",16029,1764.15,4.055777569934529
558,Cassia,Idaho,ID,16031,24030,"Cassia, ID",16031,2565.08,9.368128869275033
559,Clark,Idaho,ID,16033,845,"Clark, ID",16033,1764.19,0.47897335321025514
560,Clearwater,Idaho,ID,16035,8756,"Clearwater, ID",16035,2457.27,3.56330399182833
