,COUNTY,STATE,COUNTYFIPS,num_hospital,num_beds
95,AVOYELLES,LA,22009,3,-944
96,BACA,CO,08009,1,79
97,BACON,GA,13005,1,47
98,BAILEY,TX,48017,1,25
99,BAKER,FL,12003,2,1163
100,BAKER,OR,41001,1,65
101,BALDWIN,AL,01003,4,398
102,BALDWIN,GA,13009,2,340
103,BALTIMORE,MD,24005,7,900
104,BALTIMORE,MD,24510,1,84
105,BALTIMORE CITY,MD,24510,16,2334
106,BANNOCK,ID,16005,2,219
107,BARAGA,MI,26013,1,15
108,BARBER,KS,20007,2,35
109,BARBOUR,AL,01005,1,74
110,BARBOUR,WV,54001,1,72
111,BARNES,ND,38003,1,25
112,BARNSTABLE,MA,25001,4,-592
113,BARNWELL,SC,45011,1,53
114,BARREN,KY,21009,1,180
115,BARRON,WI,55005,3,90
116,BARROW,GA,13013,1,56
117,BARRY,MI,26015,1,49
118,BARRY,MO,29009,2,43
119,BARTHOLOMEW,IN,18005,1,198
120,BARTON,KS,20009,3,81
121,BARTON,MO,29011,1,25
122,BARTOW,GA,13015,1,80
123,BASTROP,TX,48021,1,8
124,BATES,MO,29013,1,60
125,BATH,VA,51017,1,25
126,BAXTER,AR,05005,1,268
127,BAY,FL,12005,4,514
128,BAY,MI,26017,3,389
129,BAYAMON,PR,72021,6,-35
130,BAYLOR,TX,48023,1,49
131,BEADLE,SD,46005,1,25
132,BEAR LAKE,ID,16007,1,21
133,BEAUFORT,NC,37013,3,303
134,BEAUFORT,SC,45013,3,-709
135,BEAUREGARD,LA,22011,2,80
136,BEAVER,OK,40007,1,24
137,BEAVER,PA,42007,2,396
138,BEAVER,UT,49001,2,72
139,BEAVERHEAD,MT,30001,1,25
140,BECKER,MN,27005,1,87
141,BECKHAM,OK,40009,2,93
142,BEDFORD,PA,42009,1,49
143,BEDFORD,TN,47003,2,237
144,BEDFORD CITY,VA,51515,1,50
145,BEE,TX,48025,1,69
146,BELKNAP,NH,33001,1,137
147,BELL,KY,21013,2,216
148,BELL,TX,48027,10,-1906
149,BELMONT,OH,39013,4,300
150,BELTRAMI,MN,27007,2,-881
151,BEN HILL,GA,13017,1,75
152,BENEWAH,ID,16009,1,19
153,BENNETT,SD,46007,1,14
154,BENNINGTON,VT,50003,1,99
155,BENTON,AR,05007,6,-2662
156,BENTON,IA,19011,1,25
157,BENTON,OR,41003,1,164
158,BENTON,TN,47005,1,25
159,BENTON,WA,53005,4,447
160,BENZIE,MI,26019,1,8
161,BERGEN,NJ,34003,10,3019
162,BERKELEY,WV,54003,2,-758
163,BERKS,PA,42011,6,1247
164,BERKSHIRE,MA,25003,3,-665
165,BERNALILLO,NM,35001,16,934
166,BERRIEN,GA,13019,1,63
167,BERRIEN,MI,26021,4,512
168,BERTIE,NC,37015,1,6
169,BETHEL,AK,02050,1,37
170,BEXAR,TX,48029,46,5173
171,BIBB,AL,01007,1,35
172,BIBB,GA,13021,8,1294
173,BIENVILLE,LA,22013,1,21
174,BIG HORN,MT,30003,2,-938
175,BIG HORN,WY,56003,2,25
176,BIG STONE,MN,27011,2,40
177,BINGHAM,ID,16011,3,153
178,BLACK HAWK,IA,19013,3,459
179,BLACKFORD,IN,18009,1,15
180,BLADEN,NC,37017,1,58
181,BLAINE,ID,16013,1,25
182,BLAINE,MT,30005,1,-999
183,BLAINE,OK,40011,2,42
184,BLAIR,PA,42013,5,598
185,BLECKLEY,GA,13023,1,25
186,BLEDSOE,TN,47007,1,25
187,BLOUNT,AL,01009,1,40
188,BLOUNT,TN,47009,2,471
189,BLUE EARTH,MN,27013,1,272
190,BOLIVAR,MS,28011,1,165
191,BON HOMME,SD,46009,2,50
192,BOND,IL,17005,1,150
193,BONNER,ID,16017,1,25
194,BONNEVILLE,ID,16019,2,332
195,BOONE,AR,05009,1,174
196,BOONE,IA,19015,1,42
197,BOONE,IL,17007,1,-999
198,BOONE,IN,18011,1,52
199,BOONE,KY,21015,2,201
200,BOONE,MO,29019,6,-1378
201,BOONE,NE,31011,1,25
202,BOONE,WV,54005,1,25
203,BOSQUE,TX,48035,1,25
204,BOSSIER,LA,22015,5,-595
205,BOTTINEAU,ND,38009,1,25
206,BOULDER,CO,08013,6,-299
207,BOUNDARY,ID,16021,1,20
208,BOURBON,KS,20011,1,61
209,BOURBON,KY,21017,1,58
210,BOWIE,TX,48037,6,841
211,BOWMAN,ND,38011,1,23
212,BOX BUTTE,NE,31013,1,25
213,BOX ELDER,UT,49003,2,53
214,BOYD,KY,21019,1,455
215,BOYD,NE,31015,1,20
216,BOYLE,KY,21021,1,222
217,BRADFORD,FL,12007,1,25
218,BRADFORD,PA,42015,3,340
219,BRADLEY,AR,05011,1,35
220,BRADLEY,TN,47011,1,140
221,BRANCH,MI,26023,1,96
222,BRAXTON,WV,54007,1,25
223,BRAZORIA,TX,48039,5,357
224,BRAZOS,TX,48041,6,658
225,BREATHITT,KY,21025,1,55
226,BRECKINRIDGE,KY,21027,1,25
227,BREMER,IA,19017,2,50
228,BREVARD,FL,12009,11,1768
229,BREWSTER,TX,48043,1,25
230,BRISTOL,MA,25005,10,-599
231,BRISTOL,VA,51520,2,53
232,BROADWATER,MT,30007,1,44
233,BRONX,NY,36005,14,-1535
234,BROOKE,WV,54009,2,251
235,BROOKINGS,SD,46011,1,49
236,BROOKS,GA,13027,1,25
237,BROOME,NY,36007,4,-257
238,BROOMFIELD,CO,08014,1,92
239,BROWARD,FL,12011,26,6018
240,BROWN,KS,20013,2,50
241,BROWN,MN,27015,3,102
242,BROWN,NE,31017,1,23
243,BROWN,OH,39015,1,921
244,BROWN,SD,46013,3,172
245,BROWN,TX,48049,1,194
246,BROWN,WI,55009,8,1278
247,BRULE,SD,46015,1,25
248,BRUNSWICK,NC,37019,3,-839
249,BRYAN,OK,40013,1,148
250,BUCHANAN,IA,19019,2,120
251,BUCHANAN,MO,29021,3,-606
252,BUCHANAN,VA,51027,1,134
253,BUCKS,PA,42017,9,-74
254,BUENA VISTA,IA,19021,1,35
255,BUFFALO,NE,31019,3,322
256,BULLOCH,GA,13031,2,190
257,BULLOCK,AL,01011,1,61
258,BUNCOMBE,NC,37021,4,-122
259,BUREAU,IL,17011,1,-999
260,BURKE,GA,13033,1,40
261,BURKE,NC,37023,2,446
262,BURLEIGH,ND,38015,2,510
263,BURLESON,TX,48051,1,25
264,BURLINGTON,NJ,34005,9,1112
265,BURNET,TX,48053,2,71
266,BURNETT,WI,55013,1,25
267,BURT,NE,31021,1,18
268,BUTLER,AL,01013,2,94
269,BUTLER,KS,20015,2,126
270,BUTLER,MO,29023,5,-857
271,BUTLER,NE,31023,1,20
272,BUTLER,OH,39017,8,879
273,BUTLER,PA,42019,3,-1702
274,BUTTE,CA,06007,7,592
275,BUTTE,ID,16023,1,14
276,BUTTS,GA,13035,1,25
277,CABARRUS,NC,37025,2,497
278,CABELL,WV,54011,6,1051
279,CABO ROJO,PR,72023,1,43
280,CACHE,UT,49005,2,150
281,CADDO,LA,22017,14,-669
282,CADDO,OK,40015,2,42
283,CAGUAS,PR,72025,2,435
284,CALAVERAS,CA,06009,1,48
285,CALCASIEU,LA,22019,11,-2209
286,CALDWELL,KY,21033,1,25
287,CALDWELL,LA,22021,2,65
288,CALDWELL,TX,48055,2,59
289,CALEDONIA,VT,50005,1,25
290,CALHOUN,AL,01015,4,590
291,CALHOUN,FL,12013,1,25
292,CALHOUN,GA,13037,1,25
293,CALHOUN,IA,19025,1,25
294,CALHOUN,MI,26025,5,-682
295,CALHOUN,MS,28013,1,25
296,CALHOUN,WV,54013,1,42
297,CALLAWAY,MO,29027,2,-962
298,CALLOWAY,KY,21035,1,152
299,CALUMET,WI,55015,1,25
300,CALVERT,MD,24009,1,76
301,CAMBRIA,PA,42021,4,594
302,CAMDEN,GA,13039,1,40
303,CAMDEN,MO,29029,2,130
304,CAMDEN,NJ,34007,11,1829
305,CAMERON,LA,22023,1,49
306,CAMERON,TX,48061,11,520
307,CAMP,TX,48063,1,25
308,CAMPBELL,KY,21037,2,-715
309,CAMPBELL,TN,47013,2,120
310,CAMPBELL,WY,56005,1,90
311,CANADIAN,OK,40017,2,123
312,CANDLER,GA,13043,1,25
313,CANNON,TN,47015,1,60
314,CANYON,ID,16027,2,302
315,CAPE GIRARDEAU,MO,29031,2,293
316,CAPE MAY,NJ,34009,1,242
317,CARBON,MT,30009,1,10
318,CARBON,PA,42025,2,155
319,CARBON,UT,49007,1,49
320,CARBON,WY,56007,1,25
321,CARIBOU,ID,16029,1,25
322,CAROLINA,PR,72031,1,-999
323,CARROLL,AR,05015,2,47
324,CARROLL,GA,13045,3,344
325,CARROLL,IA,19027,3,203
326,CARROLL,KY,21041,1,25
327,CARROLL,MD,24013,2,409
328,CARROLL,NH,33003,1,25
329,CARROLL,TN,47017,2,115
330,CARSON CITY,NV,32510,3,229
331,CARTER,MT,30011,1,31
332,CARTER,OK,40019,2,212
333,CARTER,TN,47019,1,121
334,CARTERET,NC,37031,1,135
335,CARVER,MN,27019,1,109
336,CASCADE,MT,30013,3,436
337,CASEY,KY,21045,1,15
338,CASS,IA,19029,1,33
339,CASS,IN,18017,2,-984
340,CASS,MI,26027,1,25
341,CASS,MN,27021,1,-999
342,CASS,MO,29037,2,106
343,CASS,ND,38017,6,-1496
344,CASS,TX,48067,2,68
345,CASSIA,ID,16031,1,25
346,CASTRO,TX,48069,1,17
347,CATAWBA,NC,37035,2,613
348,CATOOSA,GA,13047,1,185
349,CATTARAUGUS,NY,36009,2,248
350,CAVALIER,ND,38019,1,20
351,CAYEY,PR,72035,1,208
352,CAYUGA,NY,36011,1,99
353,CECIL,MD,24015,2,-877
354,CEDAR,MO,29039,2,41
355,CENTRE,PA,42027,3,438
356,CERRO GORDO,IA,19033,2,586
357,CHAFFEE,CO,08015,1,25
358,CHAMBERS,AL,01017,1,115
359,CHAMBERS,TX,48071,2,39
360,CHAMPAIGN,IL,17019,3,549
361,CHAMPAIGN,OH,39021,1,8
362,CHARLES,MD,24017,1,89
363,CHARLES MIX,SD,46023,2,37
364,CHARLESTON,SC,45019,11,2166
365,CHARLEVOIX,MI,26029,1,25
366,CHARLOTTE,FL,12015,4,823
367,CHARLOTTESVILLE,VA,51540,1,614
368,CHARLTON,GA,13049,1,-999
369,CHASE,NE,31029,1,22
370,CHATHAM,GA,13051,9,1717
371,CHATHAM,NC,37037,1,25
372,CHATTAHOOCHEE,GA,13053,1,57
373,CHATTOOGA,GA,13055,1,31
374,CHAUTAUQUA,KS,20019,1,25
375,CHAUTAUQUA,NY,36013,5,399
376,CHAVES,NM,35005,3,229
377,CHEATHAM,TN,47021,1,12
378,CHELAN,WA,53007,3,239
379,CHEMUNG,NY,36015,3,-608
380,CHENANGO,NY,36017,1,58
381,CHEROKEE,AL,01019,1,60
382,CHEROKEE,GA,13057,1,79
383,CHEROKEE,IA,19035,2,83
384,CHEROKEE,KS,20021,2,54
385,CHEROKEE,NC,37039,1,191
386,CHEROKEE,NC,37173,1,-999
387,CHEROKEE,OK,40021,2,-899
388,CHEROKEE,SC,45021,1,125
389,CHEROKEE,TX,48073,3,429
390,CHERRY,NE,31031,1,25
391,CHESAPEAKE,VA,51550,1,310
392,CHESHIRE,NH,33005,1,169
393,CHESTER,PA,42029,10,1286
394,CHESTER,SC,45023,1,82
395,CHESTERFIELD,SC,45025,1,59
396,CHESTERFIELD,VA,51041,4,466
397,CHEYENNE,CO,08017,1,11
398,CHEYENNE,KS,20023,1,16
399,CHEYENNE,NE,31033,1,25
400,CHICKASAW,IA,19037,1,18
401,CHICKASAW,MS,28017,1,84
402,CHICOT,AR,05017,2,40
403,CHILDRESS,TX,48075,1,39
404,CHILTON,AL,01021,1,26
405,CHIPPEWA,MI,26033,1,82
406,CHIPPEWA,MN,27023,1,30
407,CHIPPEWA,WI,55017,2,218
408,CHISAGO,MN,27025,1,61
409,CHITTENDEN,VT,50007,1,562
410,CHOCTAW,AL,01023,1,25
411,CHOCTAW,MS,28019,2,50
412,CHOCTAW,OK,40023,2,64
413,CHOUTEAU,MT,30015,2,82
414,CHOWAN,NC,37041,1,89
415,CHRISTIAN,IL,17021,2,67
416,CHRISTIAN,KY,21047,2,291
417,CHURCHILL,NV,32001,1,40
418,CIBOLA,NM,35006,2,-974
419,CIDRA,PR,72041,1,-999
420,CIMARRON,OK,40025,1,25
421,CITRUS,FL,12017,2,332
422,CLACKAMAS,OR,41005,4,551
423,CLAIBORNE,LA,22027,1,-999
424,CLAIBORNE,MS,28021,1,32
425,CLALLAM,WA,53009,2,163
426,CLARE,MI,26035,1,49
427,CLARENDON,SC,45027,2,89
428,CLARION,PA,42031,2,156
429,CLARK,AR,05019,1,25
430,CLARK,IN,18019,4,442
431,CLARK,KS,20025,2,99
432,CLARK,KY,21049,1,54
433,CLARK,NV,32003,42,-4713
434,CLARK,OH,39023,4,-705
435,CLARK,WA,53011,4,-1418
436,CLARK,WI,55019,2,49
437,CLARKE,AL,01025,2,85
438,CLARKE,GA,13059,3,574
439,CLARKE,IA,19039,1,25
440,CLARKE,MS,28023,1,25
441,CLATSOP,OR,41007,2,289
442,CLAY,AR,05021,1,25
443,CLAY,FL,12019,3,416
444,CLAY,IA,19041,1,99
445,CLAY,IL,17025,1,18
446,CLAY,IN,18021,1,25
447,CLAY,KS,20027,1,25
448,CLAY,KY,21051,1,63
449,CLAY,MO,29047,6,905
450,CLAY,MS,28025,1,60
451,CLAY,SD,46027,1,25
452,CLAY,TN,47027,1,34
453,CLAY,TX,48077,1,25
454,CLAYTON,GA,13063,4,558
455,CLAYTON,IA,19043,2,50
456,CLEARFIELD,PA,42033,2,310
457,CLEARWATER,ID,16035,2,83
458,CLEARWATER,MN,27029,1,25
459,CLEBURNE,AR,05023,1,25
460,CLERMONT,OH,39025,1,148
461,CLEVELAND,NC,37045,4,431
462,CLEVELAND,OK,40027,5,808
463,CLINCH,GA,13065,1,25
464,CLINTON,IA,19045,3,-734
465,CLINTON,IN,18023,1,25
466,CLINTON,KY,21053,1,42
467,CLINTON,MI,26037,1,25
468,CLINTON,MO,29049,1,58
469,CLINTON,NY,36019,1,300
470,CLINTON,OH,39027,1,165
471,CLINTON,PA,42035,2,111
472,CLOUD,KS,20029,1,25
473,COAHOMA,MS,28027,1,181
474,COAL,OK,40029,1,20
475,COBB,GA,13067,6,1274
476,COCHISE,AZ,04003,8,-2730
477,COCHRAN,TX,48079,1,18
478,COCKE,TN,47029,1,74
479,COCONINO,AZ,04005,4,-691
480,CODINGTON,SD,46029,1,81
481,COFFEE,AL,01031,1,131
482,COFFEE,GA,13069,1,88
483,COFFEE,TN,47031,3,220
484,COFFEY,KS,20031,2,-921
485,COLBERT,AL,01033,2,363
486,COLE,MO,29051,3,402
487,COLEMAN,TX,48083,1,25
488,COLES,IL,17029,1,118
489,COLFAX,NE,31037,1,25
490,COLFAX,NM,35007,1,25
491,COLLETON,SC,45029,1,131
492,COLLIER,FL,12021,6,1051
493,COLLIN,TX,48085,27,2615
494,COLLINGSWORTH,TX,48087,1,16
495,COLORADO,TX,48089,3,103
496,COLQUITT,GA,13071,2,158
497,COLUMBIA,AR,05027,1,70
498,COLUMBIA,FL,12023,3,346
499,COLUMBIA,PA,42037,2,173
500,COLUMBIA,WA,53013,1,25
501,COLUMBIA,WI,55021,2,98
502,COLUMBIANA,OH,39029,2,351
503,COLUMBUS,NC,37047,1,154
504,COLUSA,CA,06011,1,48
505,COMAL,TX,48091,5,348
506,COMANCHE,KS,20033,1,12
507,COMANCHE,OK,40031,5,-461
508,COMANCHE,TX,48093,1,25
509,CONCHO,TX,48095,1,16
510,CONCORDIA,LA,22029,2,65
511,CONECUH,AL,01035,1,58
512,CONEJOS,CO,08021,1,17
513,CONTRA COSTA,CA,06013,12,994
514,CONVERSE,WY,56009,1,25
515,CONWAY,AR,05029,1,35
516,COOK,GA,13075,1,60
517,COOK,IL,17031,70,10682
518,COOK,MN,27031,1,16
519,COOKE,TX,48097,2,78
520,COOPER,MO,29053,1,70
521,COOS,NH,33007,3,66
522,COOS,OR,41011,3,216
523,COPIAH,MS,28029,2,50
524,CORSON,SD,46031,1,12
525,CORTLAND,NY,36023,1,162
526,CORYELL,TX,48099,1,25
527,COSHOCTON,OH,39031,1,56
528,COTTONWOOD,MN,27033,2,26
529,COVINGTON,AL,01039,3,210
530,COVINGTON,MS,28031,1,35
531,COWETA,GA,13077,3,211
532,COWLEY,KS,20035,2,62
533,COWLITZ,WA,53015,2,-797
534,CRAIG,OK,40035,1,51
535,CRAIGHEAD,AR,05031,6,-1367
536,CRANE,TX,48103,1,25
537,CRAVEN,NC,37049,2,-649
538,CRAWFORD,AR,05033,1,103
539,CRAWFORD,IA,19047,1,25
540,CRAWFORD,IL,17033,1,63
541,CRAWFORD,KS,20037,2,146
542,CRAWFORD,MI,26039,1,71
543,CRAWFORD,MO,29055,1,35
544,CRAWFORD,OH,39033,2,75
545,CRAWFORD,PA,42039,2,289
546,CRAWFORD,WI,55023,2,50
547,CREEK,OK,40037,3,95
548,CRENSHAW,AL,01041,2,93
549,CRISP,GA,13081,1,73
550,CRITTENDEN,AR,05035,2,206
551,CRITTENDEN,KY,21055,1,48
552,CROOK,OR,41013,2,-974
553,CROOK,WY,56011,1,16
554,CROSBY,TX,48107,1,25
555,CROSS,AR,05037,1,25
556,CROW WING,MN,27035,2,212
557,CULBERSON,TX,48109,1,14
558,CULEBRA,PR,72049,1,-999
559,CULLMAN,AL,01043,2,185
560,CULPEPER,VA,51047,1,70
561,CUMBERLAND,KY,21057,1,25
562,CUMBERLAND,ME,23005,7,1039
563,CUMBERLAND,NC,37051,4,-1332
564,CUMBERLAND,NJ,34011,4,-488
565,CUMBERLAND,PA,42041,5,658
566,CUMBERLAND,TN,47035,1,189
567,CUMING,NE,31039,1,25
568,CURRY,NM,35009,1,106
569,CURRY,OR,41015,2,-975
570,CUSTER,MT,30017,1,90
571,CUSTER,NE,31041,2,35
572,CUSTER,OK,40039,2,81
573,CUSTER,SD,46033,1,11
574,CUYAHOGA,OH,39035,29,5371
575,DADE,GA,13083,1,13
576,DAKOTA,MN,27037,3,259
577,DALE,AL,01045,1,89
578,DALLAS,AL,01047,1,175
579,DALLAS,AR,05039,1,25
580,DALLAS,IA,19049,1,25
581,DALLAS,TX,48085,1,50
582,DALLAS,TX,48113,56,7000
583,DALLAS,TX,48121,1,60
584,DANE,WI,55025,8,634
585,DANIELS,MT,30019,1,54
586,DANVILLE,VA,51590,2,-749
587,DARE,NC,37055,1,21
588,DARKE,OH,39037,1,104
589,DARLINGTON,SC,45031,2,188
590,DAUPHIN,PA,42043,8,-2807
591,DAVIDSON,NC,37057,2,243
592,DAVIDSON,TN,47037,15,3490
593,DAVIE,NC,37059,2,131
594,DAVIESS,IN,18027,1,80
595,DAVIESS,KY,21059,2,527
596,DAVIS,IA,19051,1,25
597,DAVIS,UT,49011,5,-420
598,DAVISON,SD,46035,1,67
599,DAWES,NE,31045,1,25
600,DAWSON,MT,30021,1,96
601,DAWSON,NE,31047,3,58
602,DAWSON,TX,48115,1,22
603,DAY,SD,46037,1,25
604,DE SOTO,LA,22031,1,-999
605,DE WITT,IL,17039,1,25
606,DEAF SMITH,TX,48117,1,42
607,DEARBORN,IN,18029,2,104
608,DECATUR,GA,13087,1,80
609,DECATUR,IA,19053,1,25
610,DECATUR,IN,18031,1,25
611,DECATUR,TN,47039,1,40
612,DEER LODGE,MT,30023,2,261
613,DEFIANCE,OH,39039,2,74
614,DEKALB,AL,01049,1,134
615,DEKALB,GA,13089,15,1605
616,DEKALB,IL,17037,3,191
617,DEKALB,IN,18033,2,72
618,DEKALB,TN,47041,1,71
619,DELAWARE,IA,19055,1,25
620,DELAWARE,IN,18035,3,411
621,DELAWARE,NY,36025,4,67
622,DELAWARE,OH,39041,2,-939
623,DELAWARE,OK,40041,1,58
624,DELAWARE,PA,42045,8,-836
625,DELTA,CO,08029,1,49
626,DENT,MO,29065,1,55
627,DENTON,TX,48121,18,1516
628,DENVER,CO,08031,16,-571
629,DES MOINES,IA,19057,1,213
630,DESCHUTES,OR,41017,2,308
631,DESHA,AR,05041,2,50
632,DESOTO,FL,12027,1,49
633,DESOTO,MS,28033,3,514
634,DEUEL,SD,46039,1,10
635,DEWEY,OK,40043,1,18
636,DEWEY,SD,46041,1,11
637,DEWITT,TX,48123,1,49
638,DICKENSON,VA,51051,1,25
639,DICKEY,ND,38021,1,20
640,DICKINSON,IA,19059,1,49
641,DICKINSON,KS,20041,1,25
642,DICKINSON,MI,26043,2,-903
643,DICKSON,TN,47043,1,157
644,DILLINGHAM,AK,02070,1,14
645,DILLON,SC,45033,1,79
646,DIMMIT,TX,48127,1,48
647,DINWIDDIE,VA,51053,1,-999
648,DISTRICT OF COLUMBIA,DC,11001,14,2897
649,DODGE,GA,13091,1,94
650,DODGE,NE,31053,1,81
651,DODGE,WI,55027,3,245
652,DONA ANA,NM,35013,5,404
653,DOOLY,GA,13093,1,47
654,DOOR,WI,55029,1,25
655,DORCHESTER,MD,24019,3,409
656,DORCHESTER,SC,45035,2,104
657,DOUGHERTY,GA,13095,2,939
658,DOUGLAS,CO,08031,1,16
659,DOUGLAS,CO,08035,5,-1558
660,DOUGLAS,GA,13097,2,192
661,DOUGLAS,KS,20045,1,152
662,DOUGLAS,MN,27041,1,127
663,DOUGLAS,NE,31055,18,2069
664,DOUGLAS,NV,32005,2,-976
665,DOUGLAS,OR,41019,2,-983
666,DOUGLAS,SD,46043,1,11
667,DOUGLAS,WI,55031,1,25
668,DREW,AR,05043,1,49
669,DUBOIS,IN,18037,1,123
670,DUBUQUE,IA,19061,3,470
671,DUCHESNE,UT,49013,2,-875
672,DUKES,MA,25007,1,25
673,DUNDY,NE,31057,1,14
674,DUNKLIN,MO,29069,1,116
675,DUNN,WI,55033,1,25
676,DUPAGE,IL,17043,8,881
677,DUPLIN,NC,37061,1,101
678,DURHAM,NC,37063,6,-638
679,DUTCHESS,NY,36027,4,-323
680,DUVAL,FL,12031,14,3845
681,DYER,TN,47045,1,225
682,EAGLE,CO,08037,1,58
683,EARLY,GA,13099,1,25
684,EAST BATON ROUGE,LA,22033,22,-5485
685,EAST CARROLL,LA,22035,1,11
686,EAST FELICIANA,LA,22037,4,-493
687,EASTLAND,TX,48133,1,52
688,EATON,MI,26045,2,45
689,EAU CLAIRE,WI,55035,3,661
690,ECTOR,TX,48135,4,669
691,EDDY,NM,35015,2,161
692,EDGAR,IL,17045,1,25
693,EDGECOMBE,NC,37065,1,117
694,EDGEFIELD,SC,45037,1,25
695,EDMUNDS,SD,46045,1,12
696,EDWARDS,KS,20047,1,22
697,EFFINGHAM,GA,13103,2,-974
698,EFFINGHAM,IL,17049,1,146
699,EL DORADO,CA,06017,3,240
700,EL PASO,CO,08041,11,-1578
701,EL PASO,TX,48135,1,347
702,EL PASO,TX,48141,17,1467
703,ELBERT,GA,13105,1,52
704,ELK,PA,42047,1,80
705,ELKHART,IN,18039,3,406
706,ELKO,NV,32007,2,-949
707,ELLIS,KS,20051,1,172
708,ELLIS,OK,40045,1,79
709,ELLIS,TX,48139,3,233
710,ELLSWORTH,KS,20053,1,25
711,ELMORE,AL,01051,1,69
712,ELMORE,ID,16039,1,25
713,EMANUEL,GA,13107,1,72
714,EMMET,IA,19063,1,25
715,EMMET,MI,26047,1,178
716,EMMONS,ND,38029,1,14
717,EMPORIA,VA,51595,1,80
718,ERATH,TX,48143,1,98
719,ERIE,NY,36029,15,-1646
720,ERIE,OH,39043,2,424
721,ERIE,PA,42049,8,1188
722,ESCAMBIA,AL,01053,2,142
723,ESCAMBIA,FL,12033,8,311
724,ESSEX,MA,25009,16,-555
725,ESSEX,NJ,34013,13,3048
726,ESSEX,NY,36031,3,-959
727,ESSEX,VA,51057,1,67
728,ESTILL,KY,21065,1,25
729,ETOWAH,AL,01055,3,671
730,EVANGELINE,LA,22039,1,180
731,EVANS,GA,13109,1,49
732,FAIRBANKS NORTH STAR,AK,02090,3,-1781
733,FAIRFAX,VA,51059,8,709
734,FAIRFIELD,CT,09001,8,68
